id,titulo,descripcion,hay_stock,precio,unidad,imagen,es_oferta,tags
FECU_00,Fécula de mandioca,Sin TACC. Marca FEMAG,sí,2700,el paquete de 1kg,https://lh3.googleusercontent.com/d/1t6j_PCiYYvWEEebauj-LBDJhHPsKJprX,no,sin TACC|harina
FIDE_00,Fideos de arroz tradicionales,Marca Soyarroz,sí,2700,el paquete de 300g,https://lh3.googleusercontent.com/d/1GZzghtUGSNFBYz1mUo94gBqmj8GXmwL0,no,sin TACC|cereales|vegano
FIDE_01,Fideos de arroz de espinaca,Marca Soyarroz,sí,2700,el paquete de 300g,https://lh3.googleusercontent.com/d/1It86b1-Mt_v8nbR8sh_wOk9DK7Bv68k1,no,sin TACC|cereales|vegano
FIDE_02,Fideos de arroz de morrón,Marca Soyarroz,sí,2700,el paquete de 300g,https://lh3.googleusercontent.com/d/1qRLHbZX4lIYERb2Ug047UDyPHRBLghGF,no,sin TACC|cereales|vegano
FIDE_03,Fideos de arroz integrales,Marca Soyarroz,sí,2700,el paquete de 300g,https://lh3.googleusercontent.com/d/109G11ZsTU5XcRFiVcqbmfvU6M6no40Pb,no,sin TACC|cereales|vegano
FIDE_04,Fideos fettuccine con espinaca,Orgánicos. Marca Campo Claro,sí,4100,el paquete de 500g,https://lh3.googleusercontent.com/d/1T7Ri49KLM0hnnpb3d2m5-73F-L3TgZmI,no,cereales|orgánico
FIDE_05,Tallarines integrales,Orgánicos. Marca Campo Claro,sí,3800,el paquete de 500g,https://lh3.googleusercontent.com/d/1pHum67G0q8neIUfppC061rAeBS8Y1sYq,no,novedades|cereales|orgánico
FIDE_06,Fideos codito con harina de garbanzos,Orgánicos. Marca Campo Claro,sí,4100,el paquete de 500g,https://lh3.googleusercontent.com/d/1QIXLhmtTrl1NZ_6Q0rkDkZZuWY3sk1Xz,no,novedades|cereales|orgánico
GALL_00,Galletas de arroz,,no,0,,,no,cereales|snacks
GARB_00,Garbanzos,,sí,2600,el kg,https://lh3.googleusercontent.com/d/15txcISKuNBNWkOt7_WeDcrszMDP49OZr,no,legumbres
GHEE_00,Ghee,Manteca clarificada. Marca Entre Nuts,sí,11990,el frasco de 300g,https://lh3.googleusercontent.com/d/1w5FHkkG3XxNmuQJCP14QU34N6JeJvgm-,no,sin TACC|aceite|cereales
HARI_00,Harina integral,,sí,2260,el kg,https://lh3.googleusercontent.com/d/1iKJaBpkJPeW4tFKPXj3YUI2ehHHSvajW,no,cereales|harina
HARI_01,Harina integral orgánica,Marca Campo Claro,sí,3150,el kg,https://lh3.googleusercontent.com/d/1XGnLa5EkUKqXKQ20r7CPVXQcvYT8w8xE,no,cereales|harina|orgánico
HARI_02,Harina de centeno orgánica,Marca Campo Claro,sí,3780,el kg,https://lh3.googleusercontent.com/d/1cjd5s_LMknnuu9-Q0d3gbW2nB8UinMf-,no,cereales|harina|orgánico
HARI_03,Harina de garbanzo,,sí,1300,el kg,https://lh3.googleusercontent.com/d/1D2XhiF0pCyFP94TDRA7NIrUiEmOPu76R,sí,ofertas|legumbres|harina
HARI_04,Harina de garbanzo sin TACC,Orgánica. Marca Dicomere,sí,1900,el paquete de 450g,https://lh3.googleusercontent.com/d/1M7BqEYQMT5_aIe5WK95u-kBbAZCHghx5,no,sin TACC|legumbres|harina|orgánico
HARI_05,Harina para arepas,Harina de maíz blanco precocido Morixe,sí,3100,el kg,https://lh3.googleusercontent.com/d/1PxibZuqAFepFWslLE68WlcNkU__QA0A3,no,cereales|harina
HARI_06,Harina de almendras,¡Artesanal; recién hecha!,sí,2700,los 100g,https://lh3.googleusercontent.com/d/1rD7EcIjatOWItVgQIvH2DlrFjYhe4cLb,no,harina
HARI_08,Harina de chía,¡Artesanal; recién hecha!,sí,3750,los 500g,https://lh3.googleusercontent.com/d/12if8dlRxhyJ1c1ETyH9mpykkGDXrwbTc,no,harina
HARI_09,Harina de lino,¡Artesanal; recién hecha!,sí,2000,los 500g,https://lh3.googleusercontent.com/d/19Aju5rvl9g4p6Atvg6I_U3lTrSt0KXi9,no,harina
HARI_10,Harina de arroz,,sí,1900,el kg,https://lh3.googleusercontent.com/d/12WAazYQakgk5y-7YYc29aX0cbXP7NkN7,no,cereales|harina
HARI_12,Harina de arroz sin TACC,Marca Dicomere,sí,3000,el paquete de 1kg,https://lh3.googleusercontent.com/d/1Vf--3A7sAF7agGJldZpqLRHZm1fhOoLn,no,sin TACC|cereales|harina
HARI_13,Harina de algarroba,,no,0,,,no,harina
HARI_14,Harina de coco,¡Artesanal; recién hecha!,sí,3150,los 250g,,no,harina
HARI_15,Harina integral de trigo,,no,0,,,,
HIBI_00,Hibiscus,¡Flor de hibiscus!,sí,5800,los 100g,https://lh3.googleusercontent.com/d/1ZbwtHMWnXhxXxQFt-SNC-oY4VIm9L-xp,no,yuyitos|tecitos
HIGO_00,Higos blancos,,sí,1200,los 100g,https://lh3.googleusercontent.com/d/1Cs_gZLEGVZzqtPYYTpV802WYolwEXM9g,no,frutos secos
HONG_00,Hongos de pino,,sí,2250,los 100g,https://lh3.googleusercontent.com/d/1wtNi9opiI5UE-neJuHy8EbeRRerJo60S,no,hongos
HONG_01,Melena de león doble extracto,Hongos adaptógenos. Marca Funga Gen,sí,28000,el frasco gotero de 50ml,https://lh3.googleusercontent.com/d/16YuLXDvgQkNsGkLWOFSzp2Pekdrqxu-v,no,suplementos|hongos
HONG_02,Reishi doble extracto,Hongos adaptógenos. Marca Funga Gen,sí,28000,el frasco gotero de 50ml,https://lh3.googleusercontent.com/d/1XGaF9SgRn-OUmN_tvfa-SBtWVPeT5MgV,no,suplementos|hongos
HONG_03,Cordy doble extracto,Hongos adaptógenos. Marca Funga Gen,sí,28000,el frasco gotero de 50ml,https://lh3.googleusercontent.com/d/1j0fngZgbo8Z8iupKQJQzxO3imGiO6IiF,no,suplementos|hongos
HONG_04,Shiitake doble extracto,Hongos adaptógenos. Marca Funga Gen,sí,28000,el frasco gotero de 50ml,https://lh3.googleusercontent.com/d/1TayPSV-7OBy7L01yYakcRfijkeyDxiN3,no,suplementos|hongos
HONG_05,Cola de pavo doble extracto,Hongos adaptógenos. Marca Funga Gen,sí,28000,el frasco gotero de 50ml,https://lh3.googleusercontent.com/d/1J0pCbPuEer2RUoSR9zXOD9MmCHfT8gG7,no,suplementos|hongos
HUEV_00,Huevos de gallinas felices🤍🐔,De libre pastoreo. Marca Don Valentín,sí,10800,el maple,https://lh3.googleusercontent.com/d/1alY9-whOOwSBM0lTiVA3WK1S2Ozq1OGZ,no,orgánico
HUEV_01,Huevos de gallinas felices🤍🐔,De libre pastoreo. Marca Don Valentín,sí,4800,la docena,https://lh3.googleusercontent.com/d/1Ay_UemEUz03VDpzTS1m866cME_BNsrDF,no,orgánico
JENG_00,Jengibre en polvo,,sí,2600,los 100g,https://lh3.googleusercontent.com/d/1Vmb65qj2a-0GXNWjKrwg2jCEXp2-LRqo,no,especias|tecitos
LAUR_00,Laurel hojas,,sí,3000,los 100g,https://lh3.googleusercontent.com/d/15YLOsAPJXGj1mNCvjTLnK2x7gqelqXg2,no,yuyitos|especias
LAVA_00,Lavanda flores,,sí,3950,los 100g,https://lh3.googleusercontent.com/d/117upZ-1IjFJI9Cr4S8kcQYs43RRnWdVj,no,yuyitos|tecitos
LECH_00,Leche de nuez pecan sin azúcar,Marca Pampa Vida,sí,3800,1 envase de 1 litro,https://lh3.googleusercontent.com/d/1CZO1dfgfIGo_uA6RUUFj9vyt7fnto4D8,no,sin TACC|leches vegetales|vegano
LECH_02,Leche de almendras protéica sin azúcar,Marca Pampa Vida,sí,4900,1 envase de 1 litro,https://lh3.googleusercontent.com/d/1yflGoLh0kp6H93a1JVHWRace8ItMjjgi,no,sin TACC|suplementos|leches vegetales|vegano
LECH_03,Leche de almendras sin azúcar,Marca Tratenfu,sí,4400,1 envase de 1 litro,https://lh3.googleusercontent.com/d/1lXWPzBglhjerlTP7TMOVE6JO9h4WIlo8,no,sin TACC|leches vegetales|vegano
LENT_00,Lentejas,,sí,3100,el kg,https://lh3.googleusercontent.com/d/1DtPGuXXxOQLoxDhhJVBSiWNFL9nAJJ02,no,legumbres
LEVA_00,Nutrileva | Levadura nutricional,Levadura de cerveza en polvo,no,0,,https://lh3.googleusercontent.com/d/1oeTXJ_0ek-2UZJaZe687Qo0HpI3WVujT,no,sin TACC|suplementos
